,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002831,BP,GO:0002831,regulation of response to biotic stimulus,79/2105,220/20875,0.359090909090909,3.56105592744548,12.78835126085,4.25093124128668e-25,3.98777835492132e-23,2.86378525728787e-23,824681/821832/838338/824763/834101/832474/822298/817495/841606/824073/831173/830142/817828/6241037/836686/825139/832750/829308/824405/843716/833963/832618/835358/843617/818403/832170/824408/829589/843620/822184/842432/830401/831158/822093/837800/820141/825706/837999/837210/827493/28720712/838336/824807/825831/842281/826884/830443/836377/834768/831345/833957/841026/828782/844423/818549/821808/822474/825434/10723040/820355/828457/824711/832530/836753/836819/825650/827085/821717/842733/834536/836163/837393/827397/835632/842754/841327/834561/831876/817375,79
GO:0090693,BP,GO:0090693,plant organ senescence,68/2105,176/20875,0.386363636363636,3.83151587130209,12.6327355624222,6.8249449295906e-24,6.11142795967885e-22,4.38886410783242e-22,818171/843353/820307/826642/818902/821706/818959/28717391/834489/815864/822092/838272/818505/832476/833948/836040/843282/832524/840317/839324/828053/828534/833738/819561/843656/834629/828481/839864/831654/822299/815862/820214/824408/831156/836383/821185/831024/835238/830779/824807/841899/831345/833957/837660/831157/838510/827297/828849/817103/827896/838668/818670/821061/825650/824390/827634/825452/825251/819129/840318/821453/834630/822547/829605/835306/822330/837384/831594,68
GO:0009414,BP,GO:0009414,response to water deprivation,115/2105,458/20875,0.251091703056769,2.4900424234252,10.7977224874114,8.37148961531244e-21,6.5967338168662e-19,4.73738191283365e-19,818414/838122/833998/839488/832474/822298/815949/820155/824082/828081/826796/837082/836040/838107/839515/820538/833862/834244/818354/818097/819248/841722/819332/821904/832750/831174/837075/828053/6240315/823846/819392/842862/818353/838420/824410/820214/843057/820789/834758/832206/834818/839889/841849/816622/842010/6240283/821185/842114/828444/819715/819221/821569/840250/837210/832703/821975/830565/838483/817925/825362/821613/817901/824807/818429/842281/825927/831765/840150/844174/843258/821495/818435/825481/830154/831293/837414/837413/821005/836626/828520/843262/828849/818706/822041/817103/817206/842580/818670/822207/817608/824786/831117/838535/827481/829641/825452/819280/820956/817935/817745/839666/819331/824921/836163/838824/840115/835306/837393/839907/828713/816700/837071/820284/821170/834026,115
GO:0006979,BP,GO:0006979,response to oxidative stress,113/2105,458/20875,0.246724890829694,2.44673733780041,10.4839084043229,8.00760507774093e-20,5.84258592709246e-18,4.19579774833677e-18,843660/821135/820564/838122/842342/828414/837894/839488/836531/842368/834678/838052/836533/828271/838016/837429/824073/838212/832476/826447/828413/833954/838107/822119/839515/839969/842909/842405/834244/821047/832145/830416/841082/836103/834464/823752/837075/836011/828418/828053/823846/828481/828186/832820/839392/827831/817155/837531/829623/842114/832672/821048/843584/837304/838483/826791/28720712/843864/822462/824807/828805/835538/826884/819567/840181/823964/831765/833957/827622/835019/844174/825817/816248/835571/819767/838652/831720/837528/832845/835248/819961/815120/817103/826789/843389/818670/816149/830561/837405/818588/814729/836423/842652/829641/825452/840318/842280/836286/817745/839666/819331/840454/836015/840115/822547/825483/829605/842910/837267/820292/828713/841391/826718,113
GO:0009626,BP,GO:0009626,plant-type hypersensitive response,40/2105,82/20875,0.48780487804878,4.83749493076879,11.6598487686217,5.79348412995636e-19,4.07612990571929e-17,2.92723408671479e-17,838338/838508/829955/828420/831173/836686/838043/824608/824405/824257/815862/837365/843617/832170/824408/829589/843620/831158/817197/827493/823593/842281/834892/826884/823964/835091/834660/10723040/820355/839846/839735/829480/834517/821717/843462/821607/821676/842754/834561/839808,40
GO:0009611,BP,GO:0009611,response to wounding,78/2105,268/20875,0.291044776119403,2.88625163966391,10.4077390584072,1.85843476070123e-18,1.22037215952714e-16,8.7639870820437e-17,843660/834101/832474/817022/834378/820321/838179/838107/822119/835085/6241037/834646/842405/832145/836103/826958/824608/830894/824582/820429/820591/819392/841944/841820/839265/843740/834485/838708/844028/830520/830457/825291/829623/843998/834484/834469/5008297/821048/843584/836518/834842/830779/838483/841602/814753/837125/823579/817841/844276/832196/817553/838310/844423/823620/843500/827381/820619/817876/818046/842580/842428/838707/817599/844383/842733/838501/823426/839666/837069/824309/822547/828151/826409/830970/828713/837071/814817/817375,78
GO:0019748,BP,GO:0019748,secondary metabolic process,92/2105,371/20875,0.247978436657682,2.45916858205658,9.49663795892353,1.61783275779647e-16,8.61386630502442e-15,6.18596650491735e-15,825182/836802/820564/817496/842945/817628/842880/832525/829955/818902/839488/822298/817495/843328/843329/836533/825184/820403/820083/843126/836368/843799/839515/6241037/820402/839295/827678/832145/830416/819055/835828/839479/828364/831174/842479/814822/838136/826456/822042/834871/837768/826844/843600/838288/814770/843661/827931/838708/820316/824408/844169/829779/820209/821710/820331/839418/837304/823579/824807/830018/818429/842281/821201/824516/820888/817491/844174/828834/830154/829894/821677/840272/844421/831183/818706/817498/838668/817599/843161/842478/836499/822338/844383/841805/827912/838438/819423/838824/830626/839768/830525/837766,92
GO:0071446,BP,GO:0071446,cellular response to salicylic acid stimulus,35/2105,77/20875,0.454545454545455,4.50766573094364,10.32641391199,1.46268357770124e-15,7.38842730274727e-14,5.30592909158019e-14,821135/833667/820307/815864/832320/839748/838107/836686/831826/838043/814985/824405/824257/824408/830401/831156/834545/843864/824807/817841/823964/830587/820355/839846/818670/839735/831863/825650/827085/842733/838812/827710/837393/827397/828151,35
GO:0009753,BP,GO:0009753,response to jasmonic acid,64/2105,220/20875,0.290909090909091,2.88490606780393,9.41207125954006,2.21972276815547e-15,1.09321346331657e-13,7.85080894842357e-14,838122/843353/824763/817022/820155/839748/838107/827834/836602/834646/842405/819248/824212/832686/841160/831174/827725/824405/828481/841944/842862/837768/843740/818489/844028/820789/818403/824408/829623/6240283/824306/821780/834469/834545/836518/830779/5008204/837125/824807/821902/825831/817841/844276/830443/834768/841026/838310/823620/820355/818046/842580/842428/818670/822207/820790/842733/838501/823426/827710/840115/828151/838144/839141/817375,64
GO:0043067,BP,GO:0043067,regulation of programmed cell death,37/2105,94/20875,0.393617021276596,3.90344670743417,9.44803118241325,6.11907617954299e-14,2.87013811278564e-12,2.0611625025829e-12,838338/837408/831173/822119/830902/817807/824405/837783/824188/827714/829566/843617/834758/829589/843620/834210/831158/828614/834842/827493/824900/817746/842710/833957/835203/838779/10723040/820355/839561/821717/830497/839232/836158/823804/836574/820317/842754,37
GO:0002682,BP,GO:0002682,regulation of immune system process,42/2105,120/20875,0.35,3.4709026128266,9.09037158494868,1.48536805100881e-13,6.65039786474398e-12,4.77592024056421e-12,821832/838338/834101/832474/815949/824073/831173/817828/833523/836686/824405/832618/843617/832170/829589/843620/842432/831158/820141/827493/28720712/838336/824807/842281/826884/834768/833957/818549/825434/818291/10723040/820355/836819/825650/821717/834536/827397/823804/842754/841327/834561/831876,42
GO:0050776,BP,GO:0050776,regulation of immune response,42/2105,120/20875,0.35,3.4709026128266,9.09037158494868,1.48536805100881e-13,6.65039786474398e-12,4.77592024056421e-12,821832/838338/834101/832474/815949/824073/831173/817828/833523/836686/824405/832618/843617/832170/829589/843620/842432/831158/820141/827493/28720712/838336/824807/842281/826884/834768/833957/818549/825434/818291/10723040/820355/836819/825650/821717/834536/827397/823804/842754/841327/834561/831876,42
GO:0000302,BP,GO:0000302,response to reactive oxygen species,51/2105,167/20875,0.305389221556886,3.02850356294537,8.81376944060253,1.89003160814855e-13,8.27413837345032e-12,5.94199410842492e-12,843660/821135/820564/838122/828414/839488/834678/828271/837429/838212/832476/828413/842405/834244/821047/837075/836011/828053/828481/832820/817155/821048/843584/837304/838483/28720712/843864/824807/826884/819567/823964/833957/827622/835019/816248/819767/838652/831720/819961/843389/818670/837405/814729/829641/840318/842280/840454/840115/822547/828713/826718,51
GO:0044242,BP,GO:0044242,cellular lipid catabolic process,39/2105,114/20875,0.342105263157895,3.39261157644706,8.57822127153461,2.49092842361888e-12,1.02231854052692e-10,7.34168377487671e-11,821135/827562/829417/819730/839508/821175/839691/839889/827663/821243/818802/826791/826790/816152/842864/819865/826673/819870/839883/843947/827381/831604/817876/818879/841689/817457/826789/820932/837140/836635/832812/841516/821244/836015/838824/820462/843785/830144/827314,39
GO:0010243,BP,GO:0010243,response to organonitrogen compound,47/2105,157/20875,0.299363057324841,2.96874290815014,8.29204541230239,3.6736671837628e-12,1.44742487040254e-10,1.03945446210046e-10,830991/834896/818959/841606/834895/832660/817022/817459/815949/837429/817458/834646/819248/843997/836103/824489/823752/818064/826456/817460/817923/821036/837365/819940/834207/842281/824516/824693/842812/832950/836301/831870/842580/842428/819296/821717/842733/820142/819566/839666/843462/837441/826407/831392/828856/838261/826409,47
GO:0009404,BP,GO:0009404,toxin metabolic process,27/2105,61/20875,0.442622950819672,4.38943187570577,8.87791137220613,5.51193555969481e-12,2.04877604766015e-10,1.47130911464346e-10,817496/817628/818902/822298/817495/843328/843329/820083/836368/843799/839515/839295/839479/814822/838288/814770/827931/824408/844169/824807/818429/817491/844174/828834/830154/817498/841805,27
GO:0009991,BP,GO:0009991,response to extracellular stimulus,74/2105,320/20875,0.23125,2.29327494061758,7.80735387193899,6.08782909822947e-12,2.22093024509482e-10,1.59494002105661e-10,844398/820564/834353/838122/831147/832474/819120/815949/819609/843632/819730/842527/819332/843027/820034/832801/837075/828053/834574/28717277/840446/843740/838420/822299/828638/824124/818721/839418/824754/844220/816141/825794/821613/838739/824384/821049/824120/828805/841899/819816/837890/824516/841765/844174/838652/838472/828287/832137/819961/836558/843444/827960/835005/843161/827481/838909/825452/835562/820956/817261/837069/837278/821244/834630/836163/839142/832428/839907/820292/817230/842185/821170/841912/831594,74
GO:0045088,BP,GO:0045088,regulation of innate immune response,37/2105,107/20875,0.345794392523364,3.4291961728861,8.43633647570843,6.25437625833492e-12,2.2402038598036e-10,1.60878118491907e-10,821832/838338/834101/832474/824073/831173/817828/836686/824405/843617/832170/829589/843620/842432/831158/820141/827493/28720712/838336/824807/842281/826884/834768/833957/818549/825434/10723040/820355/836819/825650/821717/834536/827397/842754/841327/834561/831876,37
GO:0046777,BP,GO:0046777,protein autophosphorylation,48/2105,170/20875,0.282352941176471,2.80005588933911,7.8916821709829,2.21991508674299e-11,7.80934414443516e-10,5.60820653492966e-10,819609/823679/833892/839324/843936/825139/835947/842890/836150/832618/838470/842432/837531/831091/825806/816235/828967/816258/838236/818549/828424/829980/819260/834204/837855/838182/820235/834620/843389/825809/836753/842891/836819/819989/815625/821717/825804/818989/828283/831316/821586/826541/814673/831123/829685/837393/825369/826409,48
GO:0042430,BP,GO:0042430,indole-containing compound metabolic process,32/2105,87/20875,0.367816091954023,3.64758238457968,8.28704139980558,2.54316659600578e-11,8.64481960925289e-10,6.20819532718989e-10,817628/823555/818902/822298/817495/6241037/835828/837075/826456/816952/829566/838708/824408/830457/824629/814980/824807/818429/842281/828834/830154/829894/835571/828484/828815/839103/818588/832812/838438/823556/833841/822529,32
GO:0009636,BP,GO:0009636,response to toxic substance,50/2105,184/20875,0.271739130434783,2.69480016523805,7.73274025175728,3.95864995543365e-11,1.27844924790234e-09,9.18106219172187e-10,817496/823555/817495/843328/843329/842203/836533/820083/814938/836368/843799/839515/839295/841082/837853/843027/839479/814822/835511/838288/814770/827931/828669/844169/832290/821934/838907/843864/824120/842281/830443/824516/817491/835019/844174/825050/833782/816248/838652/821935/842650/824119/817498/837405/844385/841805/827912/814906/823556/818252,50
GO:0032787,BP,GO:0032787,monocarboxylic acid metabolic process,96/2105,490/20875,0.195918367346939,1.94289592321489,7.07299243290869,1.24090011516906e-10,3.81964566700476e-09,2.74304235984739e-09,821135/838508/823555/842880/826642/827562/815864/843838/6241037/832524/831483/829869/832750/830894/816509/837075/826456/820006/827226/843716/841944/843810/830058/832820/820709/814770/835358/834758/824408/839889/827371/827663/821249/843584/820141/831039/828733/816412/838224/817901/819567/842864/836377/824516/814974/841026/817525/819865/832657/837122/842748/830154/819870/833655/817693/835571/828484/819767/834966/843947/827381/831604/817876/821460/818879/835764/818986/818706/839846/817457/817257/838668/828685/837140/839347/821961/816894/839735/820630/822169/836635/832812/841516/835258/823556/821163/836015/836163/838824/820462/830144/827314/814643/824568/831876/838147,96
GO:0016054,BP,GO:0016054,organic acid catabolic process,46/2105,169/20875,0.272189349112426,2.69926492290826,7.42767843047751,2.22490981307893e-10,6.54189900263507e-09,4.69800281033477e-09,821135/826642/817022/831599/832524/833862/814732/839508/814770/829566/830635/827663/829623/829452/835480/838739/842864/819865/830154/819870/839883/828798/834660/843947/827381/831604/817876/827841/818879/817457/816149/837140/818588/836635/838301/832812/841516/837168/843565/814906/821163/838824/820462/830144/835598/827314,46
GO:0046395,BP,GO:0046395,carboxylic acid catabolic process,46/2105,169/20875,0.272189349112426,2.69926492290826,7.42767843047751,2.22490981307893e-10,6.54189900263507e-09,4.69800281033477e-09,821135/826642/817022/831599/832524/833862/814732/839508/814770/829566/830635/827663/829623/829452/835480/838739/842864/819865/830154/819870/839883/828798/834660/843947/827381/831604/817876/827841/818879/817457/816149/837140/818588/836635/838301/832812/841516/837168/843565/814906/821163/838824/820462/830144/835598/827314,46
GO:0010646,BP,GO:0010646,regulation of cell communication,75/2105,357/20875,0.210084033613445,2.08337491766303,6.91420298416706,5.29392914744884e-10,1.4898629172106e-08,1.0699309434844e-08,824763/829691/819120/841606/826796/822312/836040/838107/819314/838043/819248/839324/814985/817807/832750/836596/838136/828481/839265/829946/825476/818403/824408/838922/843418/843998/821780/828444/814683/843106/830996/834545/843864/824807/837890/825831/842281/836739/830443/838310/821005/832137/817876/839846/818670/839735/828714/844295/825257/827085/821182/844383/842733/838501/829993/823426/830497/832215/829976/819614/827710/826541/836163/832396/836158/824115/837393/844193/823754/831285/820292/829473/841327/834026/817375,75
GO:0071215,BP,GO:0071215,cellular response to abscisic acid stimulus,60/2105,261/20875,0.229885057471264,2.2797389903623,6.96718388685939,7.67155276288959e-10,2.01506119238566e-08,1.44709711064191e-08,842978/838122/841606/831700/822092/826796/836040/838107/839324/817807/832750/836596/837075/842890/839265/838420/838470/834818/838922/831156/817544/843418/828444/814683/843106/830996/818916/842710/816235/10723114/818609/837890/825831/836739/817553/843258/825481/821005/817876/827187/818706/828239/842580/828714/843257/821182/827481/819280/830497/832215/826541/836163/832396/821676/829651/835306/837393/829473/834026/817382,60
GO:0097306,BP,GO:0097306,cellular response to alcohol,60/2105,261/20875,0.229885057471264,2.2797389903623,6.96718388685939,7.67155276288959e-10,2.01506119238566e-08,1.44709711064191e-08,842978/838122/841606/831700/822092/826796/836040/838107/839324/817807/832750/836596/837075/842890/839265/838420/838470/834818/838922/831156/817544/843418/828444/814683/843106/830996/818916/842710/816235/10723114/818609/837890/825831/836739/817553/843258/825481/821005/817876/827187/818706/828239/842580/828714/843257/821182/827481/819280/830497/832215/826541/836163/832396/821676/829651/835306/837393/829473/834026/817382,60
GO:0031668,BP,GO:0031668,cellular response to extracellular stimulus,55/2105,231/20875,0.238095238095238,2.3611582400181,6.96649668316329,9.96222536912961e-10,2.5487771398942e-08,1.83038016351472e-08,844398/834353/838122/832474/819120/819609/843632/819730/842527/819332/820034/832801/837075/828053/834574/28717277/843740/838420/822299/828638/824124/839418/824754/816141/825794/821613/838739/824384/821049/824120/841899/819816/837890/841765/844174/838652/838472/828287/832137/836558/843444/827960/835005/843161/827481/838909/820956/817261/821244/834630/836163/839142/832428/821170/831594,55
GO:0071496,BP,GO:0071496,cellular response to external stimulus,56/2105,238/20875,0.235294117647059,2.33337990778259,6.92812725893461,1.12554917837468e-09,2.80674921695965e-08,2.01564036740249e-08,844398/834353/838122/832474/819120/819609/843632/819730/842527/819332/820034/832801/837075/828053/834574/28717277/843740/838420/822299/828638/824124/839418/824754/816141/825794/821613/838739/824384/821049/824120/841899/819816/837890/841765/844174/838652/838472/828287/832137/836558/843444/835681/827960/835005/843161/827481/838909/820956/817261/821244/834630/836163/839142/832428/821170/831594,56
GO:1901615,BP,GO:1901615,organic hydroxy compound metabolic process,75/2105,363/20875,0.206611570247934,2.04893896861075,6.75143797081235,1.165090662163e-09,2.86903575557639e-08,2.06037085519352e-08,821135/842880/826642/827562/818013/832524/829559/829869/832750/829560/830894/832479/843716/827208/816173/843810/830058/816041/814770/822299/816040/824408/839889/827371/827663/835480/820141/827526/816218/816412/838224/10723114/835987/817901/828805/841899/830018/816152/836377/817525/837122/835991/817693/831604/815120/818986/818706/839846/817457/817257/828239/838668/828685/816894/839735/820139/844385/831884/837168/842805/836480/836477/819902/837069/836015/818252/836163/838824/844193/836565/829473/818747/839303/831876/840311,75
GO:0044282,BP,GO:0044282,small molecule catabolic process,55/2105,234/20875,0.235042735042735,2.33088698053069,6.8561528591842,1.64721190243595e-09,4.00618203431953e-08,2.87700168534622e-08,821135/826642/834475/817022/831599/827834/832524/833862/814732/839942/820006/839508/814770/829566/830635/827663/829623/829452/835480/838739/816152/842864/819865/837122/830154/819870/839883/817693/828798/834660/843947/827381/831604/817876/827841/818879/817457/816149/837140/818588/836635/838301/832812/844385/841516/837168/843565/814906/821163/838824/820462/843076/830144/835598/827314,55
GO:0071395,BP,GO:0071395,cellular response to jasmonic acid stimulus,34/2105,111/20875,0.306306306306306,3.0375981682395,7.20810781834285,1.76030292673559e-09,4.22902044593794e-08,3.03703098014458e-08,824763/839748/838107/836602/819248/832686/824405/828481/820789/818403/824408/821780/834545/836518/824807/821902/825831/817841/844276/830443/834768/838310/820355/818670/822207/842733/838501/823426/827710/840115/828151/838144/839141/817375,34
GO:0023051,BP,GO:0023051,regulation of signaling,73/2105,353/20875,0.206798866855524,2.05079636370977,6.66795753931981,1.85716098681554e-09,4.4079604144899e-08,3.16553502381749e-08,824763/829691/841606/826796/822312/836040/838107/819314/838043/819248/839324/814985/817807/832750/836596/838136/828481/839265/829946/825476/818403/824408/838922/843418/843998/821780/828444/814683/843106/830996/834545/843864/824807/837890/825831/842281/836739/830443/838310/821005/817876/839846/818670/839735/828714/844295/825257/827085/821182/844383/842733/838501/829993/823426/830497/832215/829976/819614/827710/826541/836163/832396/836158/824115/837393/844193/823754/831285/820292/829473/841327/834026/817375,73
GO:0010224,BP,GO:0010224,response to UV-B,26/2105,74/20875,0.351351351351351,3.4843037812159,7.16927445773059,5.69390138899857e-09,1.2463317484808e-07,8.95041341147845e-08,837098/838107/843842/836103/832750/834629/821027/843716/829779/827220/821048/830996/830018/840181/824693/828127/842976/814646/835990/837405/819685/822427/834138/832438/834504/843071,26
GO:0042435,BP,GO:0042435,indole-containing compound biosynthetic process,23/2105,60/20875,0.383333333333333,3.80146476642914,7.27728419898222,6.22053782172335e-09,1.34664390206538e-07,9.67079564186949e-08,817628/823555/818902/822298/817495/6241037/835828/826456/824408/830457/824629/814980/824807/818429/828834/830154/835571/828484/828815/839103/838438/823556/833841,23
GO:0010038,BP,GO:0010038,response to metal ion,55/2105,247/20875,0.222672064777328,2.20820871839749,6.39673904250178,1.27669559862048e-08,2.67562800987483e-07,1.92147691438513e-07,843353/818959/837408/834489/824349/836638/834473/830142/833892/828641/838107/839515/838832/839295/843842/838184/843027/821817/821270/835511/828763/827114/828255/827931/831774/817197/818630/838907/826791/831039/832858/824516/825050/838779/831720/838472/825138/842650/824915/835437/828891/833895/837405/838301/825804/840543/818258/833896/842572/837296/830525/839062/826409/825776/833711,55
