,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015031,BP,GO:0015031,protein transport,201/5177,478/20875,0.420502092050209,1.69557295181536,8.83472927089773,4.91133848143311e-17,6.84517800849739e-15,3.49932866802109e-15,842256/819016/835112/827303/843607/823924/816605/838737/820001/816310/840321/832505/838957/830499/830452/816198/841666/816678/844050/823405/837616/821248/820842/820113/819740/836105/841276/824597/835217/833947/821868/830461/821415/836484/834213/818380/822557/844268/828005/830374/823935/831021/839800/831565/835435/827864/825162/821641/834706/819959/819666/839805/820149/831043/819896/836300/834184/820997/823559/828060/829276/827505/828105/824649/831546/818870/822375/838100/832359/837579/838891/824785/817851/840987/837804/819108/837606/820048/825344/832756/832124/839362/828883/843677/829412/822352/839158/837130/843634/824529/839208/835643/830501/837448/827055/817175/841599/831621/816245/842497/835165/821079/837454/838193/834387/822024/825097/830746/829596/824714/819605/829149/842138/824651/835429/829275/825463/824831/823749/828557/836603/816399/842372/837949/829741/841285/817291/815962/840060/830702/820345/824149/820197/835612/838623/842086/842922/833747/817502/835645/818821/843204/838767/824048/832368/818594/824118/831817/818152/830005/839517/820777/831524/821342/827922/839047/837091/834420/825654/837205/829726/836892/819185/839374/823827/825488/831810/838263/819929/817429/814640/820172/832327/837700/834483/819358/835320/816386/830273/820876/844294/836579/837378/842727/839248/816018/819589/829369/828494/831041/816936/832987/816342/820144/830369/816623/841512/827144/835615/828774/817439,201
GO:0010629,BP,GO:0010629,negative regulation of gene expression,158/5177,352/20875,0.448863636363636,1.80993401759531,8.80076265429295,1.0946998288403e-16,1.28483190437572e-14,6.56819897304181e-15,827337/834160/831597/823960/819210/820213/837357/821138/818511/839244/819550/827323/835150/817252/820530/841891/820529/823578/839413/832060/816307/827482/844104/829557/836300/839081/830308/840143/817919/832217/838044/828876/837133/837511/832154/837322/828259/831743/833507/823849/815840/835931/843510/842655/840295/816257/831486/820492/831141/832140/815269/822389/831635/818942/839689/817278/829117/824853/825027/836223/843900/826476/816650/844250/816905/826760/821797/844417/838762/819852/820485/825296/838354/836431/829105/837284/842312/828165/821382/835386/828552/828303/816462/843343/828654/819950/834443/834451/825892/834569/817585/830846/819383/821960/817386/828163/841528/838495/821230/817292/839109/825332/819966/837498/822081/817331/819897/823551/837107/834975/817131/837409/817403/817369/842858/831660/824886/837047/832242/821181/830864/833951/824086/827640/829635/821078/836584/828858/832829/842157/837157/836808/5007942/834403/817246/829611/827277/834934/841910/818463/828831/820745/839497/824621/837483/826931/826420/823287/817365/817747/829392/844199/826714/836109/820478/838622/819420/831910,158
GO:0032787,BP,GO:0032787,monocarboxylic acid metabolic process,201/5177,490/20875,0.410204081632653,1.6540487162607,8.41341941575641,1.10048851930859e-15,1.11549518093552e-13,5.70253141823541e-14,816781/820862/844376/841427/835862/828222/837555/824385/820946/824459/844314/824060/837507/826918/842482/829022/843384/830354/837583/840521/836279/844293/816808/840296/827088/825326/817175/837757/815842/820816/844435/830586/825905/829034/830746/818944/7922308/825386/830961/839031/816619/824710/819070/837904/816585/820255/842836/836519/837236/835895/841905/842072/832268/820387/838140/843048/841665/823650/820239/817523/837330/840138/837704/834398/841699/835006/839131/835863/829167/818437/817548/821870/841863/819845/843628/841468/837386/824599/830912/842775/830108/834876/839434/816505/843835/839053/834946/818379/816892/844282/839891/829220/834300/837610/834671/820812/838528/835369/826580/841900/828758/817694/837418/830339/822475/837888/821967/830751/824702/822102/830740/829420/843028/822525/834273/820773/829954/820951/840069/827089/820257/841367/822181/816765/10723110/828564/837731/824779/814962/817570/816652/839932/819284/814873/844309/837147/830052/821965/820288/837377/837286/819664/842561/818988/836367/816672/817832/824005/819205/817165/830332/829574/828213/834813/827835/817205/844094/816893/816888/840346/824208/815152/831500/816124/829602/841670/820828/817412/822168/828553/833497/825492/830441/818937/838468/831406/820461/837095/843182/828608/836464/839395/827018/830825/824033/828019/828569/838551/815998/843393/842961/831484/838176/819219/828759/841787/830302/837117/831690/820216/835943,201
GO:0048507,BP,GO:0048507,meristem development,148/5177,332/20875,0.44578313253012,1.79751263116984,8.41190653712593,2.08546938031064e-15,2.0219985730838e-13,1.03366743198006e-13,838039/836317/817154/818982/820831/835217/839626/817252/820530/843571/829025/839413/818862/816050/830498/831748/832379/840452/831541/824595/823664/839928/820936/843499/840521/839621/829322/832048/838372/839455/826172/839314/817830/820416/825107/831694/829845/819814/820318/821159/836431/831124/841539/837150/816533/841645/834451/816787/816366/817056/826470/816928/817649/817265/820989/833552/829931/834575/828890/816389/834154/838946/820036/831919/816549/843432/832094/820777/821404/820746/841056/842858/818036/835648/838687/828556/814714/28717514/844282/830915/836269/836364/836584/839329/842534/824251/819174/837048/834403/841582/822475/835702/821849/843096/829424/843428/829435/829175/3769880/824443/837654/843805/822075/830512/829937/824637/836414/817956/829093/820391/826934/836699/831170/830895/828934/843915/843987/827774/814898/830858/820974/842374/834439/832197/824292/824129/5007704/827914/841113/839200/828569/819127/828760/819773/834713/843393/827457/843263/834952/28716239/831368/843334/817199/28718327/836498/836598/831098/833982,148
GO:0051301,BP,GO:0051301,cell division,131/5177,285/20875,0.459649122807018,1.85342388228636,8.33064846151422,4.7778962622704e-15,4.43946194369292e-13,2.26950072457844e-13,831213/824047/842951/818982/829409/832171/821514/834213/841891/821148/831809/831748/831889/830971/820555/820419/841937/836365/839419/835098/818131/824340/824589/828558/829618/831976/821982/842992/817860/823150/824036/844261/839401/838020/830399/820999/821947/835175/824343/843271/832749/814812/844213/833970/822138/817411/822000/835234/823970/819744/818340/825034/829919/820036/831919/844194/830483/832467/844000/814686/834426/833791/834975/843599/821404/838418/831988/842858/838462/830912/829376/839467/817129/819697/831023/830847/825234/828783/836773/827676/825488/825338/831214/814649/821705/818086/830090/836269/836209/835759/842157/842672/832968/835616/817173/819026/828167/829419/821849/832059/837997/825111/835105/830445/844348/841748/827463/817592/838057/824804/843905/843797/830879/819157/824666/822075/816345/841110/831088/817361/836281/824260/844377/827760/834439/835621/841113/28718327/841156/836598/836709,131
GO:0090558,BP,GO:0090558,plant epidermis development,138/5177,306/20875,0.450980392156863,1.81846932321316,8.28278312921521,5.95830139039697e-15,5.3148048402341e-13,2.71698543402102e-13,823706/829245/818077/836528/834719/818982/820614/841276/838519/832171/834031/834213/822557/818030/836617/843070/817306/841347/834200/827702/831889/829287/842529/820419/827088/844030/837876/831141/838260/830019/825905/829149/844224/825317/829754/827341/833763/832523/842752/829139/832846/816399/821982/842992/824036/839401/819820/831959/841258/819979/814776/827298/838606/814812/839662/824169/827965/838371/822000/818794/827132/829564/827130/844375/840218/816549/843432/838127/827853/833791/816548/819230/827922/842858/841468/816795/839287/832498/841654/830326/827940/825234/838571/821847/825338/844046/836861/830609/827598/836584/836209/843377/839108/6240858/817173/829223/828167/824702/818339/821849/837997/838598/830445/844348/3769880/837654/824585/843917/843899/829937/836667/843165/836685/830895/816164/835641/816621/844377/822159/829610/842777/827760/827917/837843/817593/835401/818444/826909/837095/824976/818390/830515/3768521/837452/821134/827503/836256/28721166,138
GO:0071824,BP,GO:0071824,protein-DNA complex organization,140/5177,314/20875,0.445859872611465,1.79782206698171,8.18028644633255,1.17176607042677e-14,1.00501474501988e-12,5.13774353956353e-13,819210/820213/844066/820463/842099/839963/829817/825482/840169/827323/820092/842855/841891/838316/823578/839413/839984/824146/828570/831407/836516/832379/833676/830308/839393/831889/830719/825347/834510/832261/832154/815823/830303/837322/824393/821132/842529/824897/831743/844273/819910/839455/830006/817721/819965/836899/842655/820743/837093/819428/820168/831635/818942/817278/836867/835424/843641/837366/829117/828904/825502/834316/816650/816905/826760/823594/819375/819348/838762/821873/836431/842312/828165/821382/828770/838774/841418/827336/842992/828303/827933/823150/834451/819851/824147/821960/830376/821025/841528/819117/817292/28717376/834961/837107/819878/833791/834975/838135/821404/817684/820407/829657/837409/842858/838462/844215/831660/830543/833951/827640/824873/823286/836584/832829/842157/836808/821860/5007942/822101/838055/817246/826984/826539/816179/841910/818463/828831/819593/829484/824636/832208/843797/824621/816486/826420/828934/841923/836109/821437/816317,140
GO:0044272,BP,GO:0044272,sulfur compound biosynthetic process,85/5177,160/20875,0.53125,2.14213709677419,8.32828387378889,1.27244290483295e-14,1.05094358436203e-12,5.37253670929469e-13,823706/818982/837466/829176/824385/840521/841405/825317/830035/839501/839031/835466/816619/838901/818775/828409/816585/824872/816271/832797/816232/825500/835006/835863/841863/819845/820128/834407/826975/831660/818382/837277/839891/837610/838580/830339/842375/815134/830740/821077/828100/820951/821292/821003/819022/830153/819654/836263/818978/822181/816765/825167/824770/817513/821147/838440/841433/842553/836210/827118/843612/840346/826811/815963/832872/832366/833497/818937/830662/835567/825376/821203/843749/842897/844013/821845/831270/827011/838210/832365/825068/830663/838211/821508/818912,85
GO:0009642,BP,GO:0009642,response to light intensity,86/5177,164/20875,0.524390243902439,2.11447678992919,8.22833903318404,2.40976416021702e-14,1.91920502760141e-12,9.81118265231214e-13,826093/838879/837555/817170/843737/825286/830756/817857/835919/822117/835809/816733/842760/818142/821268/5007686/826470/840099/815111/818741/828582/836244/841894/820464/817646/827922/821840/817329/831928/837332/837403/829220/834300/818531/5007942/843330/822525/840297/824885/828762/840069/829567/827842/818903/819358/824694/827463/837483/834652/817365/821111/841099/823901/841995/842526/839300/821260/820828/831501/821482/837593/835515/830662/819146/815247/824654/843099/815058/835507/824246/836789/842446/825376/825320/821203/831799/842386/28718283/815055/839449/821123/828613/834301/822391/818854/829544,86
GO:0016051,BP,GO:0016051,carbohydrate biosynthetic process,156/5177,366/20875,0.426229508196721,1.71866737176097,7.96555402916019,4.10231655078447e-14,3.04938863608312e-12,1.5588802892981e-12,816556/828801/824459/821148/843989/834677/838512/829984/844049/844293/829842/843659/825079/836456/817830/838450/839718/828690/839903/829149/817755/836504/824909/842752/836523/816399/822241/836047/821339/835603/822105/824710/837904/844160/830399/817607/819834/827298/824559/820474/842072/828020/836698/839880/844225/837963/830368/818447/836408/834829/834523/816697/814637/825048/843130/844194/819674/839475/843830/834426/835750/825285/817818/829381/836213/830559/821783/829376/839467/837716/838257/827940/835035/830847/827419/831140/837277/840847/841588/830090/821223/825440/833975/837610/819353/835220/828758/824134/829509/836262/818766/831430/830315/822277/827550/839030/832497/830549/830153/819380/836710/821589/827438/818580/836263/821672/840953/825246/830665/820845/828564/818212/839224/831769/816652/819639/835849/839723/830052/818285/836343/834883/832042/838203/816672/840895/827498/816821/821206/837885/843530/840098/829900/844288/839531/815963/835257/816753/820461/837095/825414/830662/824572/818349/824746/822807/842961/816845/825117/837848/828759/5007694/830135/844144/830663/843133,156
GO:0006338,BP,GO:0006338,chromatin remodeling,119/5177,257/20875,0.463035019455253,1.86707669135183,8.03194203209126,4.43911649351701e-14,3.1932999292074e-12,1.63244929116432e-12,819210/820213/844066/820463/842099/839963/825482/827323/842855/841891/823578/839413/839984/828570/836516/832379/833676/830308/839393/831889/830719/825347/834510/832261/832154/815823/830303/837322/824393/821132/842529/824897/831743/844273/819910/839455/830006/817721/819965/836899/842655/820743/837093/819428/831635/818942/817278/836867/835424/843641/837366/829117/828904/825502/816905/826760/823594/819375/819348/838762/821873/836431/842312/828165/821382/828770/838774/841418/827336/828303/827933/823150/834451/819851/824147/821960/830376/821025/841528/817292/28717376/834961/837107/819878/834975/821404/820407/829657/837409/842858/838462/831660/830543/833951/827640/823286/836584/832829/842157/836808/5007942/838055/817246/826984/826539/816179/841910/818463/828831/819593/829484/843797/824621/816486/826420/828934/841923/836109/816317,119
GO:0061024,BP,GO:0061024,membrane organization,123/5177,269/20875,0.45724907063197,1.84374625254827,7.99854346010326,5.18941069290943e-14,3.61637057662126e-12,1.84872755934899e-12,835112/829362/829266/844050/823405/819740/829037/833947/838600/830461/825231/827210/822557/817170/828005/837198/819122/839569/819896/823559/827505/828105/831546/822375/829347/832359/838891/834552/841472/820555/832756/823562/834718/839208/827055/828304/838193/834387/822024/832143/825463/820234/837737/817912/827341/835918/838056/829618/830785/829815/837949/826413/817291/830702/819128/820197/820236/815275/842073/821008/842086/832346/840099/826763/817502/839662/835645/818821/842072/822306/824118/836348/818514/836244/816633/817646/829696/826935/840144/821840/831086/819185/827512/817569/818086/829306/842833/817429/814640/820172/839343/823899/816386/840228/10723110/835467/839753/818051/837378/843139/822055/841244/833476/817673/825466/821680/830699/831975/832987/816342/827759/816623/843812/820461/827144/841033/828181/819295/840472/832500/828774/818854/838735,123
GO:1901607,BP,GO:1901607,alpha-amino acid biosynthetic process,90/5177,177/20875,0.508474576271186,2.05030071077091,8.0585306293488,6.6651242271569e-14,4.24663629330282e-12,2.17092617684539e-12,817170/831666/816822/831332/841405/821050/832326/825317/830035/838807/835466/819954/838431/824923/824825/829387/824872/843869/816271/838140/816232/825500/841665/844399/830292/820320/816758/824015/832736/834407/839817/838445/826975/836707/817329/831660/815822/822396/819608/817519/840006/844395/826769/827715/843742/829510/815134/827027/837725/821977/821292/830442/819022/819654/820660/831255/820166/818978/836625/830888/825167/831522/831061/840011/818566/821147/841433/833535/837292/828213/836210/824130/831490/843612/835286/832872/832366/821482/818195/825376/821287/829949/821203/821845/831270/816812/832365/825068/818912/836709,90
GO:0033014,BP,GO:0033014,tetrapyrrole biosynthetic process,51/5177,79/20875,0.645569620253165,2.60310330747244,8.19794331579204,9.06773475533333e-14,5.61695791788703e-12,2.87144933918889e-12,829266/819059/829322/835708/835165/831505/817056/816579/839489/835788/821840/831207/821673/821181/816538/827991/834085/837610/830724/841029/820069/834442/842700/839009/818766/843330/837374/824885/828851/5007676/817589/818644/827230/834757/820722/817195/818093/827580/824861/824345/817196/835937/824034/820628/836751/835507/828611/827479/828853/834633/831984,51
GO:0007010,BP,GO:0007010,cytoskeleton organization,141/5177,324/20875,0.435185185185185,1.75477897252091,7.86313220717733,9.82759788436404e-14,5.92311980598157e-12,3.02796259139865e-12,842414/818077/832437/832171/834213/3770404/843928/839267/832060/836883/832860/828972/824908/824198/841937/817721/843934/837876/818131/832393/818773/829139/840440/829456/831976/821339/817860/816354/839401/830737/834459/831959/834908/821947/823743/816495/832749/841493/838034/835633/835011/836370/817411/835234/836408/819744/825034/818733/826806/815304/844375/839083/830483/827837/827328/816548/825867/819230/818595/837657/831988/831628/823744/816795/821783/831404/816290/817129/819697/819077/829600/835035/843134/838571/829016/828783/836773/839791/828826/825338/841412/823959/821494/836390/837558/822136/843509/835616/814722/841425/825902/836862/819026/829419/818339/826539/827876/822157/831412/821277/827154/838598/843254/834889/819717/835898/830445/824186/832098/828385/819774/843917/816416/843911/843899/819157/824666/829194/829750/819943/829367/823923/825255/821884/831813/838049/824260/820385/818161/832451/824542/834901/817504/831100/828449/827588/835761/838590/824087/828037/818577,141
