,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
ath00860,Metabolism,Metabolism of cofactors and vitamins,ath00860,Porphyrin metabolism - Arabidopsis thaliana (thale cress),31/1621,57/5536,0.543859649122807,1.85737632174205,4.18641906804878,5.91730503951763e-05,0.000677800395435655,0.000486974386027288,837528/819059/841439/836476/843310/839489/829854/830372/827991/820069/831207/830724/837374/835507/817589/824861/818644/820722/834085/824345/827580/839009/828611/824034/828029/817195/824775/834633/839472/831984/828853,31
ath00630,Metabolism,Carbohydrate metabolism,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),39/1621,78/5536,0.5,1.70758790869833,4.04944379585772,8.50439206321002e-05,0.000892961166637053,0.000641559401259704,815120/820630/831330/833655/820946/816808/824060/819042/821050/842935/829737/844326/834351/829387/832736/834876/820665/841757/820664/830292/827027/829910/822139/841221/820951/830825/833535/844378/843129/843029/837733/833830/820632/818104/833828/829949/840141/833829/838342,39
ath01210,Metabolism,Global and overview maps,ath01210,2-Oxocarboxylic acid metabolism - Arabidopsis thaliana (thale cress),47/1621,103/5536,0.456310679611651,1.55838119822955,3.68056068699867,0.000284414214331757,0.00275663007736934,0.00198053622935475,815120/829277/836704/829679/838301/824707/841875/835598/824385/819042/839031/829737/829921/831169/836707/824923/839891/838431/826975/840006/844395/816765/839429/841433/824015/841221/841863/830789/831255/822181/820951/842579/843742/831490/821977/840346/838210/825068/818912/827011/821287/824130/837542/831270/838211/832365/821508,47
ath04070,Environmental Information Processing,Signal transduction,ath04070,Phosphatidylinositol signaling system - Arabidopsis thaliana (thale cress),37/1621,77/5536,0.480519480519481,1.64105850965814,3.64477666417973,0.000358214448284817,0.00322393003456335,0.00231627387612739,842344/842381/830333/829157/830686/816388/836298/840326/843128/824309/832245/816624/820647/836497/831539/821476/820220/838801/819123/824173/836519/830014/826367/835984/825233/835981/819999/840007/821297/824863/821206/830794/842541/830067/831359/830010/824760,37
ath00966,Metabolism,Biosynthesis of other secondary metabolites,ath00966,Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress),16/1621,26/5536,0.615384615384615,2.10164665685949,3.62274388653095,0.000614669911044017,0.00516322725276975,0.00370958683156389,829277/836707/826975/816765/841433/838210/843749/825068/818912/827011/824130/837542/831270/838211/832365/821508,16
ath00020,Metabolism,Carbohydrate metabolism,ath00020,Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress),31/1621,64/5536,0.484375,1.65422578655151,3.38710794435611,0.000890580103447158,0.00701331831464637,0.00503880848002997,815120/836704/829679/837466/824707/816808/841875/835598/830819/824385/819042/839031/819364/3770570/829737/834351/839891/841757/837610/819845/835006/842375/839429/841221/841863/822181/820951/830825/840346/835168/836640,31
ath00270,Metabolism,Amino acid metabolism,ath00270,Cysteine and methionine metabolism - Arabidopsis thaliana (thale cress),53/1621,125/5536,0.424,1.44803454657619,3.25995930577505,0.00107343015880898,0.00795601176529006,0.00571609867848743,827122/844376/821214/816808/839345/841405/825317/839501/844264/841263/831169/824872/825500/816232/834351/836707/838216/832797/821292/843313/832223/822144/835466/841757/815134/831660/838993/832872/841433/819654/843367/831255/830825/842579/832011/821964/818978/827715/834975/821147/821845/844069/827640/840011/821482/821287/824130/821203/837542/828460/837753/816812/836709,53
ath00710,Metabolism,Energy metabolism,ath00710,Carbon fixation by Calvin cycle - Arabidopsis thaliana (thale cress),33/1621,71/5536,0.464788732394366,1.58733523907169,3.20482696877388,0.00150986842599881,0.0105690789819917,0.00759349032958468,814643/838301/816808/828222/838199/824459/815842/831759/834351/835945/836262/841757/837776/830052/830825/842579/825246/840098/816652/820723/819639/840895/843029/840953/824746/820461/833830/824572/833828/828758/837848/833829/828759,33
ath00340,Metabolism,Amino acid metabolism,ath00340,Histidine metabolism - Arabidopsis thaliana (thale cress),12/1621,19/5536,0.631578947368421,2.15695314782948,3.25031548856832,0.00220876216824524,0.014647580694679,0.0105237421866532,823955/827149/817776/830897/828797/836509/842175/840076/830067/829782/818195/837509,12
ath00300,Metabolism,Amino acid metabolism,ath00300,Lysine biosynthesis - Arabidopsis thaliana (thale cress),10/1621,15/5536,0.666666666666667,2.27678387826445,3.18594726611198,0.00295742835489038,0.0186317986358094,0.0133862546589775,825259/831169/819152/829510/820660/831255/831061/827715/840011/821287,10
ath03440,Genetic Information Processing,Replication and repair,ath03440,Homologous recombination - Arabidopsis thaliana (thale cress),28/1621,60/5536,0.466666666666667,1.59374871478511,2.97530179909269,0.00311825493267749,0.0187095295960649,0.0134421014641736,837513/829211/842783/827591/829727/818812/816136/844068/816985/821600/836517/841506/823975/835514/839329/831710/842384/830696/836513/832208/827854/816748/836221/827651/828230/837636/817404/823287,28
ath00620,Metabolism,Carbohydrate metabolism,ath00620,Pyruvate metabolism - Arabidopsis thaliana (thale cress),41/1621,97/5536,0.422680412371134,1.44352792281715,2.83551364221727,0.00404671743326979,0.0229138937059907,0.016462780774563,833655/820946/816808/828222/824385/839031/819364/823955/834417/815842/843048/837330/820875/834351/835945/839891/838431/834876/841757/840138/818382/837731/839429/821870/841221/841863/822181/820951/830825/835369/820723/843742/829782/844047/831500/840346/831406/833497/818356/824625/835168,41
ath00900,Metabolism,Metabolism of terpenoids and polyketides,ath00900,Terpenoid backbone biosynthesis - Arabidopsis thaliana (thale cress),28/1621,61/5536,0.459016393442623,1.56762168667388,2.86824517996295,0.00418269488283956,0.0229138937059907,0.016462780774563,830731/816264/844187/818028/834026/832396/818203/830002/825107/828209/836512/835969/842700/818452/834828/831009/834876/836181/824592/827230/836400/817234/820681/827430/832804/814779/816377/821191,28
ath00051,Metabolism,Carbohydrate metabolism,ath00051,Fructose and mannose metabolism - Arabidopsis thaliana (thale cress),28/1621,62/5536,0.451612903225806,1.54233746592108,2.76310566069235,0.00553677228857837,0.0290680545150364,0.0208843165270938,824280/816781/814643/843659/838368/836279/824459/831759/825716/843830/821543/837221/836778/829420/831699/830052/820656/816652/826805/840953/816505/842961/828947/824572/828758/816596/825117/828759,28
ath00562,Metabolism,Carbohydrate metabolism,ath00562,Inositol phosphate metabolism - Arabidopsis thaliana (thale cress),34/1621,79/5536,0.430379746835443,1.46982250368971,2.70616841257716,0.00605265713350274,0.0305053919528538,0.0219169900413152,842344/842381/830333/836298/840326/843128/824309/840311/838305/820647/831539/820638/821476/820220/838801/824173/836519/830014/826367/835984/835981/819999/840007/824863/821206/830794/816652/830067/817228/824021/830010/838014/830881/824760,34
ath00261,Metabolism,Biosynthesis of other secondary metabolites,ath00261,Monobactam biosynthesis - Arabidopsis thaliana (thale cress),9/1621,14/5536,0.642857142857143,2.19547016832643,2.88163517490258,0.0068918261162066,0.0322243996737885,0.0231520331825047,825259/831169/838580/819152/831255/827715/840011/827118/821287,9
ath00785,Metabolism,Metabolism of cofactors and vitamins,ath00785,Lipoic acid metabolism - Arabidopsis thaliana (thale cress),18/1621,36/5536,0.5,1.70758790869833,2.74053116715527,0.0069052285015261,0.0322243996737885,0.0231520331825047,836704/824707/835598/824385/839031/839891/839429/841221/841863/830789/822181/820951/830740/840346/837733/818104/840141/829232,18
ath00513,Metabolism,Glycan biosynthesis and metabolism,ath00513,Various types of N-glycan biosynthesis - Arabidopsis thaliana (thale cress),17/1621,34/5536,0.5,1.70758790869833,2.6628334594688,0.00857011187752015,0.0385655034488407,0.0277078805062682,840113/841394/839879/842476/840312/836801/835643/841584/831347/814701/821668/5007658/818610/837064/842871/843530/839224,17
ath03430,Genetic Information Processing,Replication and repair,ath03430,Mismatch repair - Arabidopsis thaliana (thale cress),16/1621,32/5536,0.5,1.70758790869833,2.58285851255958,0.0106493272479698,0.046269490801524,0.0332429090136262,837513/827591/828147/832836/838771/818812/822040/816985/836517/821383/837333/817506/829704/830696/836221/827651,16
