"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014070","GO:0014070","response to organic cyclic compound","112/2105","359/20875",7.59011493202863e-29,1.35932058328149e-26,9.7618320274129e-27,"843660/821135/838122/842988/833667/820307/826642/834101/818959/815864/817022/815949/832320/832476/842863/822312/823729/839748/844307/838107/832524/834646/836686/831826/838043/819248/843997/824212/828427/814985/843027/829308/831174/835550/6240315/824405/828481/824257/827208/842862/837768/821036/818348/830058/815943/815862/817039/844028/838721/824408/830520/825291/830401/831156/6240283/824306/843998/829768/5008297/834545/830779/5008204/843864/828412/817901/824807/842281/817841/824516/823964/817491/835019/816258/844423/830587/828416/823620/825506/820355/832845/828064/839846/838456/842580/842428/818670/828426/839735/831863/829480/825650/827085/818588/827634/838723/825804/836018/842733/838812/829993/843462/827710/825880/840105/839232/827623/837393/827397/828151/831285/828097/838147",112
"GO:0006955","GO:0006955","immune response","93/2105","272/20875",1.81380917712621e-27,2.9776700657822e-25,2.1383855561909e-25,"840190/821832/838338/838508/817628/829955/834101/832474/828420/815949/826860/824073/817626/831173/836612/817828/833523/828963/836686/838043/835828/816859/824608/835550/836614/824405/824257/817923/830058/843276/832618/836222/815862/837365/843617/832170/824408/829589/843620/842432/837531/831158/817197/820141/820848/827493/826791/823593/28720712/814753/838336/824807/842281/834892/826884/834768/823964/833957/835091/834753/830154/818549/825434/834660/818291/839574/10723040/820355/839846/819552/839735/829480/836819/825650/834517/821717/818989/842733/822601/838438/834536/821300/843462/821607/836158/821676/827397/823804/842754/841327/834561/831876/839808",93
"GO:0032101","GO:0032101","regulation of response to external stimulus","84/2105","235/20875",1.90289594159229e-26,2.88361923456678e-24,2.07084384251016e-24,"824681/821832/838338/824763/831147/834101/832474/822298/819120/817495/841606/824073/831173/830142/817828/6241037/836686/825139/832750/829308/824405/843716/833963/832618/835358/843617/818403/832170/824408/829589/843620/822184/842432/830401/831158/822093/837800/820141/825706/837999/837210/827493/28720712/838336/824807/837890/825831/842281/826884/830443/836377/834768/831345/833957/841026/828782/844423/818549/821808/822474/825434/832137/10723040/820355/828457/824711/832530/836753/836819/825650/827085/821717/842733/834536/836163/837393/827397/835632/820292/842754/841327/834561/831876/817375",84
"GO:0071456","GO:0071456","cellular response to hypoxia","85/2105","241/20875",2.79688820280815e-26,3.93562125680861e-24,2.82632913125876e-24,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/839883/828377/818605/832137/828457/816783/819260/814646/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/838517/842280/828855/839666/843622/818252/839142/828856/843216",85
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","85/2105","243/20875",5.41271995261714e-26,6.66441144165986e-24,4.78598395810358e-24,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/839883/828377/818605/832137/828457/816783/819260/814646/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/838517/842280/828855/839666/843622/818252/839142/828856/843216",85
"GO:0071453","GO:0071453","cellular response to oxygen levels","85/2105","243/20875",5.41271995261714e-26,6.66441144165986e-24,4.78598395810358e-24,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/839883/828377/818605/832137/828457/816783/819260/814646/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/838517/842280/828855/839666/843622/818252/839142/828856/843216",85
"GO:0001666","GO:0001666","response to hypoxia","90/2105","269/20875",7.666479702642e-26,8.88409706717926e-24,6.3800301673999e-24,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/824408/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/823964/839883/828377/818605/832137/828457/816783/819260/814646/828891/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/842733/843565/838517/842280/828855/839666/843622/818252/839142/828856/843216",90
"GO:0036293","GO:0036293","response to decreased oxygen levels","90/2105","273/20875",2.55885899687179e-25,2.80052901324302e-23,2.01117338701502e-23,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/824408/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/823964/839883/828377/818605/832137/828457/816783/819260/814646/828891/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/842733/843565/838517/842280/828855/839666/843622/818252/839142/828856/843216",90
"GO:0045087","GO:0045087","innate immune response","85/2105","248/20875",2.71442552403937e-25,2.81443067492503e-23,2.02115673368915e-23,"840190/821832/838338/838508/817628/829955/834101/832474/828420/826860/824073/817626/831173/836612/817828/828963/836686/838043/835828/816859/824608/835550/836614/824405/824257/817923/830058/843276/815862/837365/843617/832170/824408/829589/843620/842432/837531/831158/817197/820141/820848/827493/826791/823593/28720712/814753/838336/824807/842281/834892/826884/834768/823964/833957/835091/834753/830154/818549/825434/834660/839574/10723040/820355/839846/819552/839735/829480/836819/825650/834517/821717/818989/842733/838438/834536/821300/843462/821607/821676/827397/842754/841327/834561/831876/839808",85
"GO:0070482","GO:0070482","response to oxygen levels","90/2105","274/20875",3.44302994096797e-25,3.39138449185345e-23,2.43549065297945e-23,"838508/837098/839183/839952/838016/824140/843632/839180/827834/822119/832524/834244/829559/817780/832145/832596/819248/843997/836103/835828/828511/827971/816859/823752/3767664/832750/832801/836614/829927/839265/838410/821175/815862/843057/817155/832206/824408/830520/829327/834210/843998/820531/831158/820019/817197/835924/843621/832075/834842/838483/817925/828733/842923/837980/824807/837890/826884/831854/837428/823964/839883/828377/818605/832137/828457/816783/819260/814646/828891/822041/827896/842428/832530/843771/836499/818588/5008138/842031/838301/842733/843565/838517/842280/828855/839666/843622/818252/839142/828856/843216",90
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","79/2105","220/20875",4.25093124128668e-25,3.98777835492132e-23,2.86378525728787e-23,"824681/821832/838338/824763/834101/832474/822298/817495/841606/824073/831173/830142/817828/6241037/836686/825139/832750/829308/824405/843716/833963/832618/835358/843617/818403/832170/824408/829589/843620/822184/842432/830401/831158/822093/837800/820141/825706/837999/837210/827493/28720712/838336/824807/825831/842281/826884/830443/836377/834768/831345/833957/841026/828782/844423/818549/821808/822474/825434/10723040/820355/828457/824711/832530/836753/836819/825650/827085/821717/842733/834536/836163/837393/827397/835632/842754/841327/834561/831876/817375",79
"GO:0090693","GO:0090693","plant organ senescence","68/2105","176/20875",6.8249449295906e-24,6.11142795967885e-22,4.38886410783242e-22,"818171/843353/820307/826642/818902/821706/818959/28717391/834489/815864/822092/838272/818505/832476/833948/836040/843282/832524/840317/839324/828053/828534/833738/819561/843656/834629/828481/839864/831654/822299/815862/820214/824408/831156/836383/821185/831024/835238/830779/824807/841899/831345/833957/837660/831157/838510/827297/828849/817103/827896/838668/818670/821061/825650/824390/827634/825452/825251/819129/840318/821453/834630/822547/829605/835306/822330/837384/831594",68
"GO:0002239","GO:0002239","response to oomycetes","53/2105","115/20875",3.40167256956562e-23,2.91360650523664e-21,2.0923789169319e-21,"838122/821832/823671/820307/826642/841606/831700/818506/823679/826796/817828/817474/832524/816283/836686/832145/825139/817471/832750/814822/828950/843716/836150/818348/827931/825837/821309/820035/836216/819700/822093/837210/821934/836153/823593/824807/842281/817841/831345/825144/830154/824548/842104/823573/830803/842220/829103/829480/827085/828032/836149/837393/835632",53
"GO:0010150","GO:0010150","leaf senescence","65/2105","169/20875",9.03683263529131e-23,7.41773345480162e-21,5.32697502711909e-21,"818171/843353/820307/826642/818902/818959/28717391/834489/815864/822092/838272/818505/832476/833948/836040/843282/832524/840317/839324/828053/833738/819561/843656/834629/828481/839864/831654/815862/820214/824408/831156/836383/821185/831024/835238/830779/824807/841899/831345/833957/837660/831157/838510/827297/828849/817103/827896/838668/818670/821061/825650/824390/827634/825452/825251/819129/840318/821453/834630/822547/829605/835306/822330/837384/831594",65
"GO:0009414","GO:0009414","response to water deprivation","115/2105","458/20875",8.37148961531244e-21,6.5967338168662e-19,4.73738191283365e-19,"818414/838122/833998/839488/832474/822298/815949/820155/824082/828081/826796/837082/836040/838107/839515/820538/833862/834244/818354/818097/819248/841722/819332/821904/832750/831174/837075/828053/6240315/823846/819392/842862/818353/838420/824410/820214/843057/820789/834758/832206/834818/839889/841849/816622/842010/6240283/821185/842114/828444/819715/819221/821569/840250/837210/832703/821975/830565/838483/817925/825362/821613/817901/824807/818429/842281/825927/831765/840150/844174/843258/821495/818435/825481/830154/831293/837414/837413/821005/836626/828520/843262/828849/818706/822041/817103/817206/842580/818670/822207/817608/824786/831117/838535/827481/829641/825452/819280/820956/817935/817745/839666/819331/824921/836163/838824/840115/835306/837393/839907/828713/816700/837071/820284/821170/834026",115
"GO:0009415","GO:0009415","response to water","117/2105","471/20875",9.70081343763154e-21,7.35023172005159e-19,5.27849929561814e-19,"818414/838122/833998/839488/832474/822298/815949/820155/824082/828081/826796/837082/836040/838107/839515/820538/833862/834244/818354/818097/819248/841722/819332/821904/819562/832750/831174/837075/828053/6240315/823846/819392/842862/818353/838420/824410/820214/843057/820789/834758/832206/834818/839889/841849/816622/842010/6240283/821185/842114/828444/819715/819221/821569/840250/837210/832703/821975/830565/838483/817925/825362/821613/817901/824807/818429/842281/825927/831765/840150/844174/843258/821495/818435/825481/830154/828945/831293/837414/837413/821005/836626/828520/843262/828849/818706/822041/817103/817206/842580/818670/822207/817608/824786/831117/838535/827481/829641/825452/819280/820956/817935/817745/839666/819331/824921/836163/838824/840115/835306/837393/839907/828713/816700/837071/820284/821170/834026",117
"GO:0006979","GO:0006979","response to oxidative stress","113/2105","458/20875",8.00760507774093e-20,5.84258592709246e-18,4.19579774833677e-18,"843660/821135/820564/838122/842342/828414/837894/839488/836531/842368/834678/838052/836533/828271/838016/837429/824073/838212/832476/826447/828413/833954/838107/822119/839515/839969/842909/842405/834244/821047/832145/830416/841082/836103/834464/823752/837075/836011/828418/828053/823846/828481/828186/832820/839392/827831/817155/837531/829623/842114/832672/821048/843584/837304/838483/826791/28720712/843864/822462/824807/828805/835538/826884/819567/840181/823964/831765/833957/827622/835019/844174/825817/816248/835571/819767/838652/831720/837528/832845/835248/819961/815120/817103/826789/843389/818670/816149/830561/837405/818588/814729/836423/842652/829641/825452/840318/842280/836286/817745/839666/819331/840454/836015/840115/822547/825483/829605/842910/837267/820292/828713/841391/826718",113
"GO:0009626","GO:0009626","plant-type hypersensitive response","40/2105","82/20875",5.79348412995636e-19,4.07612990571929e-17,2.92723408671479e-17,"838338/838508/829955/828420/831173/836686/838043/824608/824405/824257/815862/837365/843617/832170/824408/829589/843620/831158/817197/827493/823593/842281/834892/826884/823964/835091/834660/10723040/820355/839846/839735/829480/834517/821717/843462/821607/821676/842754/834561/839808",40
"GO:0034050","GO:0034050","symbiont-induced defense-related programmed cell death","40/2105","83/20875",1.0102560232732e-18,6.86277367533863e-17,4.92843591752878e-17,"838338/838508/829955/828420/831173/836686/838043/824608/824405/824257/815862/837365/843617/832170/824408/829589/843620/831158/817197/827493/823593/842281/834892/826884/823964/835091/834660/10723040/820355/839846/839735/829480/834517/821717/843462/821607/821676/842754/834561/839808",40
"GO:0009611","GO:0009611","response to wounding","78/2105","268/20875",1.85843476070123e-18,1.22037215952714e-16,8.7639870820437e-17,"843660/834101/832474/817022/834378/820321/838179/838107/822119/835085/6241037/834646/842405/832145/836103/826958/824608/830894/824582/820429/820591/819392/841944/841820/839265/843740/834485/838708/844028/830520/830457/825291/829623/843998/834484/834469/5008297/821048/843584/836518/834842/830779/838483/841602/814753/837125/823579/817841/844276/832196/817553/838310/844423/823620/843500/827381/820619/817876/818046/842580/842428/838707/817599/844383/842733/838501/823426/839666/837069/824309/822547/828151/826409/830970/828713/837071/814817/817375",78
"GO:0031349","GO:0031349","positive regulation of defense response","49/2105","122/20875",1.95824842175348e-18,1.24443528737238e-16,8.93679415564239e-17,"824681/821832/838338/834101/832474/817495/841606/837408/824073/831173/830142/826796/817828/836686/825433/826456/843716/832618/835358/843617/832170/824408/829589/843620/842432/820141/837999/837210/817746/824807/825831/842281/826884/834768/831345/833957/828782/818549/825434/836819/825650/827085/821717/834536/827397/835632/839141/834561/831876",49
"GO:0002237","GO:0002237","response to molecule of bacterial origin","30/2105","51/20875",1.45594523938824e-17,8.96316287998383e-16,6.4368105320322e-16,"843660/824681/821832/828420/841606/817828/816283/837353/832750/830575/829308/826456/843716/824257/817039/842432/819700/837210/842281/844423/838236/818549/842275/824711/842580/832530/821717/844385/828713/831970",30
"GO:0048584","GO:0048584","positive regulation of response to stimulus","80/2105","290/20875",2.21945365480234e-17,1.32494657574564e-15,9.51497834786073e-16,"824681/821832/838338/834101/832474/819120/817495/841606/834678/837408/815949/824073/831173/830142/826796/822312/817828/836686/825433/839324/814985/817807/832750/826456/843716/825476/832618/835358/843617/843057/832170/824408/829589/838922/843620/842432/816622/843418/843998/816794/828444/819715/814683/843106/820141/837999/837210/817746/843864/824807/825831/842281/826884/840181/834768/831345/833957/828782/818549/825434/821005/832137/817876/836819/825650/827085/821717/834536/830497/826541/832733/836158/824115/827397/831285/835632/839780/839141/834561/831876",80
"GO:0002229","GO:0002229","defense response to oomycetes","40/2105","90/20875",3.71152266761582e-17,2.15049989858917e-15,1.54436113476027e-15,"838122/823671/826642/841606/831700/823679/817828/817474/832524/836686/825139/817471/832750/828950/843716/836150/818348/825837/820035/822093/837210/821934/836153/823593/824807/842281/817841/831345/825144/830154/824548/842104/842220/829103/829480/827085/828032/836149/837393/835632",40
"GO:0009627","GO:0009627","systemic acquired resistance","39/2105","87/20875",6.38521719502837e-17,3.59396510691597e-15,2.58097200304305e-15,"821135/838508/834101/822298/818959/815864/815949/831173/824893/819632/816381/836686/843842/829869/830943/832750/843716/843810/835358/824408/822184/837800/834545/824807/818429/825831/842281/835639/823964/841026/828416/816894/831863/842733/838812/827710/836163/827397/828151",39
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","45/2105","115/20875",1.56948799465492e-16,8.58858708186165e-15,6.16781247022285e-15,"824681/821832/838338/834101/832474/819120/817495/841606/824073/831173/830142/817828/836686/843716/832618/835358/843617/832170/824408/829589/843620/842432/820141/837999/837210/824807/825831/842281/826884/834768/831345/833957/828782/818549/825434/832137/836819/825650/827085/821717/834536/827397/835632/834561/831876",45
"GO:0019748","GO:0019748","secondary metabolic process","92/2105","371/20875",1.61783275779647e-16,8.61386630502442e-15,6.18596650491735e-15,"825182/836802/820564/817496/842945/817628/842880/832525/829955/818902/839488/822298/817495/843328/843329/836533/825184/820403/820083/843126/836368/843799/839515/6241037/820402/839295/827678/832145/830416/819055/835828/839479/828364/831174/842479/814822/838136/826456/822042/834871/837768/826844/843600/838288/814770/843661/827931/838708/820316/824408/844169/829779/820209/821710/820331/839418/837304/823579/824807/830018/818429/842281/821201/824516/820888/817491/844174/828834/830154/829894/821677/840272/844421/831183/818706/817498/838668/817599/843161/842478/836499/822338/844383/841805/827912/838438/819423/838824/830626/839768/830525/837766",92
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","43/2105","111/20875",1.13465742291611e-15,5.88230295564405e-14,4.22432015623062e-14,"824681/821832/838338/834101/832474/817495/841606/824073/831173/830142/817828/836686/843716/832618/835358/843617/832170/824408/829589/843620/842432/820141/837999/837210/824807/825831/842281/826884/834768/831345/833957/828782/818549/825434/836819/825650/827085/821717/834536/827397/835632/834561/831876",43
"GO:0071446","GO:0071446","cellular response to salicylic acid stimulus","35/2105","77/20875",1.46268357770124e-15,7.38842730274727e-14,5.30592909158019e-14,"821135/833667/820307/815864/832320/839748/838107/836686/831826/838043/814985/824405/824257/824408/830401/831156/834545/843864/824807/817841/823964/830587/820355/839846/818670/839735/831863/825650/827085/842733/838812/827710/837393/827397/828151",35
"GO:0009753","GO:0009753","response to jasmonic acid","64/2105","220/20875",2.21972276815547e-15,1.09321346331657e-13,7.85080894842357e-14,"838122/843353/824763/817022/820155/839748/838107/827834/836602/834646/842405/819248/824212/832686/841160/831174/827725/824405/828481/841944/842862/837768/843740/818489/844028/820789/818403/824408/829623/6240283/824306/821780/834469/834545/836518/830779/5008204/837125/824807/821902/825831/817841/844276/830443/834768/841026/838310/823620/820355/818046/842580/842428/818670/822207/820790/842733/838501/823426/827710/840115/828151/838144/839141/817375",64
"GO:0070542","GO:0070542","response to fatty acid","64/2105","224/20875",5.73749393272053e-15,2.75679586523401e-13,1.97976684096955e-13,"838122/843353/824763/817022/820155/839748/838107/827834/836602/834646/842405/819248/824212/832686/841160/831174/827725/824405/828481/841944/842862/837768/843740/818489/844028/820789/818403/824408/829623/6240283/824306/821780/834469/834545/836518/830779/5008204/837125/824807/821902/825831/817841/844276/830443/834768/841026/838310/823620/820355/818046/842580/842428/818670/822207/820790/842733/838501/823426/827710/840115/828151/838144/839141/817375",64
"GO:0043067","GO:0043067","regulation of programmed cell death","37/2105","94/20875",6.11907617954299e-14,2.87013811278564e-12,2.0611625025829e-12,"838338/837408/831173/822119/830902/817807/824405/837783/824188/827714/829566/843617/834758/829589/843620/834210/831158/828614/834842/827493/824900/817746/842710/833957/835203/838779/10723040/820355/839561/821717/830497/839232/836158/823804/836574/820317/842754",37
"GO:0002682","GO:0002682","regulation of immune system process","42/2105","120/20875",1.48536805100881e-13,6.65039786474398e-12,4.77592024056421e-12,"821832/838338/834101/832474/815949/824073/831173/817828/833523/836686/824405/832618/843617/832170/829589/843620/842432/831158/820141/827493/28720712/838336/824807/842281/826884/834768/833957/818549/825434/818291/10723040/820355/836819/825650/821717/834536/827397/823804/842754/841327/834561/831876",42
"GO:0050776","GO:0050776","regulation of immune response","42/2105","120/20875",1.48536805100881e-13,6.65039786474398e-12,4.77592024056421e-12,"821832/838338/834101/832474/815949/824073/831173/817828/833523/836686/824405/832618/843617/832170/829589/843620/842432/831158/820141/827493/28720712/838336/824807/842281/826884/834768/833957/818549/825434/818291/10723040/820355/836819/825650/821717/834536/827397/823804/842754/841327/834561/831876",42
