"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014070","BP","GO:0014070","response to organic cyclic compound","103/1678","359/20875",2.20815520553099e-31,3.66754505500465e-29,2.79136174785305e-29,"826642/818959/815864/833667/815949/821135/842988/843660/838122/820307/834101/832476/842862/817022/842863/834646/832320/844307/838107/831174/823729/831826/839748/828427/832524/6240315/819248/824212/814985/815943/817039/835550/822312/836686/824257/844028/6240283/828481/817901/831156/830058/838721/837768/827634/824306/825291/843027/5008204/829308/818348/5008297/824405/824408/838043/830401/830779/831863/815862/824807/843997/828416/838896/844423/823964/821036/842861/828412/830520/843998/834545/829768/832845/830587/827623/816659/817841/817491/835019/827085/842428/828064/842580/819014/818588/823620/838723/825506/816258/820355/842733/821788/828151/825880/825804/827710/821251/839846/842281/838456/838812/843864/839735/827088",103
"GO:0050832","BP","GO:0050832","defense response to fungus","86/1678","274/20875",1.8148749031013e-29,2.76314703997174e-27,2.10302609385686e-27,"838508/836823/823671/838338/821135/821832/817628/843353/834101/822298/841606/836602/843748/817828/842711/834678/832660/824763/826861/832686/820429/834378/818064/818952/817744/824073/815943/820591/817039/841082/823679/836533/839026/839392/817901/6241037/830917/843810/838721/836150/829308/819700/839028/826860/824405/830401/827831/841328/827714/837210/824807/833954/829589/831127/827493/844423/835828/840250/822093/828287/834545/814694/825135/829466/828457/5007997/817553/834842/818549/836825/818429/834630/827085/822474/837773/828064/830350/820355/842733/821788/817049/825189/818605/827710/842281/819941",86
"GO:0002376","BP","GO:0002376","immune system process","84/1678","276/20875",9.35768172802676e-28,1.31511419362345e-25,1.00093097673873e-25,"838508/838338/815949/840190/821832/817628/836612/834101/829955/828963/831173/841403/816859/817626/817828/836614/832474/833523/5008207/2745743/824073/824608/828420/835550/836686/28720712/824257/837365/830058/832618/817923/836222/842710/826860/824405/824408/838043/817197/815862/824807/829589/833957/831158/820141/820357/827493/820848/823964/835828/832170/834892/826884/843620/838336/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/838438/818166/834768/843276/814753/837675/843068/820355/842733/823593/817049/818291/818989/821676/839846/821607/821717/842281/839735/836158",84
"GO:0080134","BP","GO:0080134","regulation of response to stress","110/1678","443/20875",1.78589306406936e-27,2.33059044861052e-25,1.77380807341025e-25,"817484/838338/815949/821832/834101/824349/822298/824681/817495/822092/831173/841606/817828/834678/826796/832474/824763/819120/837408/842057/834836/823729/829853/830142/819248/833963/2745743/817744/824073/835358/825433/817039/836686/28720712/822184/843716/828481/834360/6241037/843810/830058/832750/825139/821213/832618/817746/843057/825291/826456/829308/824405/837800/824408/820264/830401/825927/837210/824807/829589/833957/831158/820141/827493/844423/832170/834892/837999/816412/821808/826884/843620/822093/825706/838336/837673/842432/825434/816622/844166/828457/824359/10723040/821061/818549/831345/838310/820728/827085/819715/822474/839780/836377/834768/821005/814753/828782/820355/842733/838501/821788/817049/819961/839722/823426/823706/821717/842281/826918/819969/840181",110
"GO:0012501","BP","GO:0012501","programmed cell death","68/1678","194/20875",1.01525300808026e-26,1.23657816384176e-24,9.41157349946686e-25,"838508/820564/838338/843660/829955/838212/831173/837408/823729/828427/822119/830902/824608/828420/836686/824257/837365/828614/817807/837783/817746/842710/824405/836574/824408/834210/838043/817197/824188/827714/815862/829566/829589/833957/834758/831158/828416/827493/823964/832170/834892/828412/826884/843620/819827/834660/10723040/834842/824900/839561/838779/816258/844125/820355/842733/823593/821676/835203/823622/818435/839846/821607/821717/842281/834543/844252/839735/836158",68
"GO:0031347","BP","GO:0031347","regulation of defense response","86/1678","297/20875",1.10281712245152e-26,1.25927930169933e-24,9.5843514392004e-25,"817484/838338/821832/834101/822298/824681/817495/831173/841606/817828/826796/832474/824763/837408/830142/833963/2745743/824073/835358/825433/817039/836686/28720712/822184/843716/828481/834360/6241037/843810/830058/832750/825139/821213/832618/817746/825291/826456/829308/824405/837800/824408/830401/837210/824807/829589/833957/831158/820141/827493/844423/832170/834892/837999/816412/821808/826884/843620/822093/825706/838336/837673/842432/825434/828457/10723040/821061/818549/831345/838310/827085/822474/836377/834768/814753/828782/820355/842733/838501/821788/817049/839722/823426/821717/842281/826918/819969",86
"GO:0008219","BP","GO:0008219","cell death","68/1678","196/20875",2.03567988653171e-26,2.1877571486432e-24,1.66509791337981e-24,"838508/820564/838338/843660/829955/838212/831173/837408/823729/828427/822119/830902/824608/828420/836686/824257/837365/828614/817807/837783/817746/842710/824405/836574/824408/834210/838043/817197/824188/827714/815862/829566/829589/833957/834758/831158/828416/827493/823964/832170/834892/828412/826884/843620/819827/834660/10723040/834842/824900/839561/838779/816258/844125/820355/842733/823593/821676/835203/823622/818435/839846/821607/821717/842281/834543/844252/839735/836158",68
"GO:0006955","BP","GO:0006955","immune response","81/1678","272/20875",4.25027525758678e-26,4.31402938645058e-24,3.28339977501294e-24,"838508/838338/815949/840190/821832/817628/836612/834101/829955/828963/831173/841403/816859/817626/817828/836614/832474/833523/5008207/2745743/824073/824608/828420/835550/836686/28720712/824257/837365/830058/832618/817923/836222/826860/824405/824408/838043/817197/815862/824807/829589/833957/831158/820141/827493/820848/823964/835828/832170/834892/826884/843620/838336/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/838438/834768/843276/814753/837675/843068/820355/842733/823593/817049/818291/818989/821676/839846/821607/821717/842281/839735/836158",81
"GO:0006979","BP","GO:0006979","response to oxidative stress","106/1678","458/20875",7.03682473626282e-24,6.76646252271167e-22,5.14994209230093e-22,"820564/821135/843660/838122/828414/826447/842909/839488/837894/832476/830416/838212/828413/842342/838052/839969/828271/834678/837429/838107/838016/834244/822119/842368/823752/839515/824073/828053/836011/832145/841082/842405/28720712/837075/836533/828481/821047/839392/828418/836531/836103/817103/834464/837252/823846/817155/838483/831076/820264/827831/819427/824807/833954/833957/832820/831075/816415/829479/823964/826884/835538/842114/832845/826791/822462/836423/825817/837531/831765/821048/820728/827622/835019/826718/829623/836286/837405/816248/828713/818588/832672/819331/831720/825483/837304/842652/844174/838652/839666/818708/819961/841709/819767/833746/835248/840318/828805/823706/834532/842743/842280/819567/840493/840181/843864/842910",106
"GO:0045087","BP","GO:0045087","innate immune response","73/1678","248/20875",2.64650195873328e-23,2.41757953930285e-21,1.84001530920351e-21,"838508/838338/840190/821832/817628/836612/834101/829955/828963/831173/841403/816859/817626/817828/836614/832474/5008207/2745743/824073/824608/828420/835550/836686/28720712/824257/837365/830058/817923/826860/824405/824408/838043/817197/815862/824807/829589/833957/831158/820141/827493/820848/823964/835828/832170/834892/826884/843620/838336/842432/825434/826791/830154/829883/834660/834753/10723040/837531/818549/838438/834768/843276/814753/820355/842733/823593/817049/818989/821676/839846/821607/821717/842281/839735",73
"GO:0090693","BP","GO:0090693","plant organ senescence","58/1678","176/20875",1.87154088828322e-21,1.6282405728064e-19,1.23925088392087e-19,"826642/818959/815864/821706/818171/820307/843353/832476/818902/822092/834489/843656/28717391/834629/833948/838272/836040/839324/840317/832524/839864/828534/818505/828053/828481/833738/843282/837660/831156/827634/817103/822299/831654/824408/819561/820214/821185/836383/830779/815862/824807/819129/833957/827297/831024/835238/821061/831345/834630/840139/844081/841899/828849/838510/838668/840318/825251/842743",58
"GO:0009415","BP","GO:0009415","response to water","103/1678","471/20875",2.96297864238208e-21,2.46061908165094e-19,1.87277262516111e-19,"815949/818414/838122/822298/839488/842862/837082/820155/826796/832474/819332/833998/836040/838107/831174/833862/834244/818354/6240315/819248/841722/839515/821904/828053/824082/837075/819365/6240283/820538/839889/819562/817901/819392/832750/818353/817103/820789/843057/840150/823846/838483/828081/825927/832703/820214/821185/828444/837210/824807/838420/834758/838896/818097/819221/821569/841849/842010/825362/840250/825481/821495/842114/831117/832206/816622/830154/820956/830565/819280/5007997/828520/821975/824355/831765/818429/819715/818166/828849/817215/842580/821005/837413/828713/817925/819331/822041/822207/843258/824786/844174/824921/839666/839907/818706/818435/837414/843262/838535/842281/828945/817608/818701/823815",103
"GO:0009414","BP","GO:0009414","response to water deprivation","101/1678","458/20875",3.81618420559994e-21,3.03137762766569e-19,2.30717589729864e-19,"815949/818414/838122/822298/839488/842862/837082/820155/826796/832474/819332/833998/836040/838107/831174/833862/834244/818354/6240315/819248/841722/839515/821904/828053/824082/837075/819365/6240283/820538/839889/817901/819392/832750/818353/817103/820789/843057/840150/823846/838483/828081/825927/832703/820214/821185/828444/837210/824807/838420/834758/838896/818097/819221/821569/841849/842010/825362/840250/825481/821495/842114/831117/832206/816622/830154/820956/830565/819280/5007997/828520/821975/824355/831765/818429/819715/818166/828849/817215/842580/821005/837413/828713/817925/819331/822041/822207/843258/824786/844174/824921/839666/839907/818706/818435/837414/843262/838535/842281/817608/818701/823815",101
"GO:0019748","BP","GO:0019748","secondary metabolic process","88/1678","371/20875",9.2265614554138e-21,7.02371990793376e-19,5.34574021166738e-19,"825182/820564/817496/836802/832525/843126/843329/842880/817628/825184/822298/839488/829955/830416/818902/817495/820403/836368/842945/828364/843328/843799/820083/831174/827678/839295/820316/839515/820402/832145/842720/827931/838136/826844/838288/836533/838289/834871/814822/6241037/837768/843161/831202/842479/814770/843600/826456/817869/843661/839479/824408/819055/844421/822042/824807/838708/829572/842478/835828/840272/820331/817498/821677/830078/830154/829779/820209/832383/817491/818429/838438/821710/834106/827000/839768/837304/842261/844174/817599/827912/818706/836499/836475/838668/823706/842281/831183/835504",88
"GO:0010150","BP","GO:0010150","leaf senescence","55/1678","169/20875",3.98217465209597e-20,2.91017323575173e-18,2.21492745912369e-18,"826642/818959/815864/818171/820307/843353/832476/818902/822092/834489/843656/28717391/834629/833948/838272/836040/839324/840317/832524/839864/818505/828053/828481/833738/843282/837660/831156/827634/817103/831654/824408/819561/820214/821185/836383/830779/815862/824807/819129/833957/827297/831024/835238/821061/831345/834630/840139/844081/841899/828849/838510/838668/840318/825251/842743",55
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","63/1678","220/20875",1.31158995320789e-19,9.21644170965696e-18,7.0146167133102e-18,"838338/821832/834101/822298/824681/817495/831173/841606/817828/832474/824763/830142/833963/2745743/824073/835358/836686/28720712/822184/843716/6241037/832750/825139/832618/829308/824405/837800/824408/830401/837210/824807/829589/833957/831158/820141/827493/844423/832170/837999/821808/826884/843620/822093/825706/838336/842432/825434/828457/10723040/818549/831345/827085/822474/836377/834768/828782/820355/842733/821788/817049/821717/842281/826918",63
"GO:0002239","BP","GO:0002239","response to oomycetes","44/1678","115/20875",1.78279868807425e-19,1.20636044559691e-17,9.18158700563774e-18,"823671/826642/838122/821832/820307/841606/831700/817828/826796/818506/832524/816283/832145/827931/823679/836686/843716/814822/836216/832750/825139/836150/819700/818348/821309/821934/820035/825837/837210/824807/824548/822093/830154/817841/831345/829103/827085/842104/821788/823593/823573/842281/828950/842220",44
"GO:0032101","BP","GO:0032101","regulation of response to external stimulus","65/1678","235/20875",2.55549571826694e-19,1.66746095616918e-17,1.26910144504911e-17,"838338/831147/821832/834101/822298/824681/817495/831173/841606/817828/832474/824763/819120/830142/833963/2745743/824073/835358/836686/28720712/822184/843716/6241037/832750/825139/832618/829308/824405/837800/824408/830401/837210/824807/829589/833957/831158/820141/827493/844423/832170/837999/821808/826884/843620/822093/825706/838336/842432/825434/828457/10723040/818549/831345/827085/822474/836377/834768/828782/820355/842733/821788/817049/821717/842281/826918",65
"GO:0009611","BP","GO:0009611","response to wounding","69/1678","268/20875",1.41573687580783e-18,8.91914231758935e-17,6.78834269670472e-17,"843660/834101/817022/834646/832474/834485/820321/838107/834469/820429/822119/834378/835085/824608/832145/820591/824582/842405/844028/838185/6241037/838179/834484/819392/843740/836103/825291/5008297/838483/830779/839265/818046/838708/830894/844423/841602/830520/841944/843998/826958/837125/836518/817553/834842/817841/821048/830457/838310/843500/817876/842428/820619/829623/842580/828713/823620/814753/827381/817599/838707/842733/838501/839666/844276/839349/828151/823426/823706/826409",69
"GO:0031349","BP","GO:0031349","positive regulation of defense response","44/1678","122/20875",2.58564605068251e-18,1.57465844486565e-16,1.19846962559705e-16,"838338/821832/834101/824681/817495/831173/841606/817828/826796/832474/837408/830142/2745743/824073/835358/825433/836686/843716/834360/832618/817746/826456/824408/837210/824807/829589/833957/820141/832170/837999/826884/843620/842432/825434/818549/831345/827085/834768/828782/821788/817049/821717/842281/826918",44
"GO:0048584","BP","GO:0048584","positive regulation of response to stimulus","71/1678","290/20875",8.72901208993946e-18,5.1444855123611e-16,3.915458394163e-16,"838338/815949/821832/834101/824681/817495/831173/841606/817828/834678/826796/832474/819120/837408/839324/830142/814985/2745743/824073/835358/825433/822312/836686/843716/834360/832750/817807/832618/817746/843057/826456/824408/843418/814683/816794/838922/828444/837210/824807/829589/833957/825476/820141/832170/837999/826884/843620/843106/843998/842432/825434/816622/818549/831345/820728/827085/817876/819715/839780/834768/821005/828782/837255/821788/817049/821717/842281/826918/840181/843864/836158",71
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","50/1678","167/20875",1.01051985278164e-16,5.76943678447518e-15,4.3911076497518e-15,"820564/821135/843660/838122/828414/839488/832476/838212/828413/828271/834678/837429/834244/828053/836011/842405/28720712/837075/828481/821047/837252/817155/838483/831076/820264/824807/833957/832820/831075/823964/826884/821048/827622/835019/826718/837405/816248/828713/831720/837304/838652/819961/841709/819767/833746/840318/834532/842280/819567/843864",50
"GO:0071446","BP","GO:0071446","cellular response to salicylic acid stimulus","33/1678","77/20875",1.04859085167388e-16,5.80538026063085e-15,4.41846416287463e-15,"815864/833667/821135/820307/832320/838107/831826/839748/814985/836686/824257/831156/824405/824408/838043/830401/831863/824807/823964/834545/830587/817841/827085/820355/842733/821788/828151/827710/821251/839846/838812/843864/839735",33
"GO:0009627","BP","GO:0009627","systemic acquired resistance","35/1678","87/20875",1.38425999638045e-16,7.43836180407965e-15,5.66132339076958e-15,"838508/818959/815864/815949/821135/824893/834101/822298/816381/831173/843842/830943/829869/835358/835639/819632/836686/822184/843716/843810/832750/837800/824408/831863/824807/828416/823964/834545/818429/816894/842733/828151/827710/842281/838812",35
"GO:0009753","BP","GO:0009753","response to jasmonic acid","58/1678","220/20875",2.4579422283222e-16,1.28304584318419e-14,9.76523814620639e-15,"838122/843353/836602/842862/817022/834646/820155/841160/824763/832686/838107/831174/839748/834469/819248/824212/842405/844028/6240283/828481/827725/821780/821902/837768/843740/824306/820789/827834/5008204/824405/824408/830779/818046/824807/818626/838896/842861/818489/841944/834545/837125/836518/817841/838310/842428/834768/829623/842580/823620/822207/820355/842733/838501/844276/828151/823426/827710/821251",58
"GO:0070542","BP","GO:0070542","response to fatty acid","58/1678","224/20875",5.9786495720622e-16,3.03416465782157e-14,2.30929710078777e-14,"838122/843353/836602/842862/817022/834646/820155/841160/824763/832686/838107/831174/839748/834469/819248/824212/842405/844028/6240283/828481/827725/821780/821902/837768/843740/824306/820789/827834/5008204/824405/824408/830779/818046/824807/818626/838896/842861/818489/841944/834545/837125/836518/817841/838310/842428/834768/829623/842580/823620/822207/820355/842733/838501/844276/828151/823426/827710/821251",58
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","39/1678","115/20875",2.35556395218431e-15,1.16313928125425e-13,8.85263152442523e-14,"838338/821832/834101/824681/817495/831173/841606/817828/832474/819120/830142/2745743/824073/835358/836686/843716/832618/824408/837210/824807/829589/833957/820141/832170/837999/826884/843620/842432/825434/818549/831345/827085/834768/828782/821788/817049/821717/842281/826918",39
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","38/1678","111/20875",3.77365436535315e-15,1.81433329618427e-13,1.38088571097826e-13,"838338/821832/834101/824681/817495/831173/841606/817828/832474/830142/2745743/824073/835358/836686/843716/832618/824408/837210/824807/829589/833957/820141/832170/837999/826884/843620/842432/825434/818549/831345/827085/834768/828782/821788/817049/821717/842281/826918",38
"GO:0009626","BP","GO:0009626","plant-type hypersensitive response","32/1678","82/20875",7.79495319651592e-15,3.65163576667554e-13,2.77925321797504e-13,"838508/838338/829955/831173/824608/828420/836686/824257/837365/824405/824408/838043/817197/815862/829589/831158/827493/823964/832170/834892/826884/843620/834660/10723040/820355/823593/821676/839846/821607/821717/842281/839735",32
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","25/1678","51/20875",1.14113566611625e-14,5.21213715498599e-13,3.96694793405151e-13,"843660/821832/824681/841606/817828/816283/828420/817039/824257/843716/832750/826456/829308/819700/837353/837210/844423/842432/818549/838236/842580/828713/844385/821717/842281",25
"GO:0034050","BP","GO:0034050","symbiont-induced defense-related programmed cell death","32/1678","83/20875",1.17163730958606e-14,5.22093015759447e-13,3.97364027204926e-13,"838508/838338/829955/831173/824608/828420/836686/824257/837365/824405/824408/838043/817197/815862/829589/831158/827493/823964/832170/834892/826884/843620/834660/10723040/820355/823593/821676/839846/821607/821717/842281/839735",32
"GO:0009404","BP","GO:0009404","toxin metabolic process","27/1678","61/20875",2.41081348983239e-14,1.04870386807709e-12,7.98166571445762e-13,"817496/843329/817628/822298/818902/817495/836368/843328/843799/820083/839295/839515/827931/838288/838289/814822/814770/839479/824408/824807/817498/830154/817491/818429/842261/844174/823706",27
"GO:0009863","BP","GO:0009863","salicylic acid mediated signaling pathway","29/1678","71/20875",3.45658131127555e-14,1.46864512923266e-12,1.11778308744064e-12,"815864/833667/820307/832320/838107/831826/839748/814985/836686/824257/824405/824408/838043/830401/824807/823964/834545/830587/827085/820355/842733/821788/828151/827710/821251/839846/838812/843864/839735",29
"GO:0042430","BP","GO:0042430","indole-containing compound metabolic process","32/1678","87/20875",5.56389911273741e-14,2.31028265431165e-12,1.75835184878615e-12,"817628/823555/822298/818902/817495/841032/837075/6241037/826456/824408/829566/824807/838708/816952/835828/824629/814980/830154/839103/830457/818429/838438/822529/818588/828484/828815/822530/832812/823706/842281/835504/827088",32
"GO:0043067","BP","GO:0043067","regulation of programmed cell death","33/1678","94/20875",1.06379628402272e-13,4.31901291313226e-12,3.28719272793923e-12,"838338/831173/837408/822119/830902/828614/817807/837783/817746/842710/824405/836574/834210/824188/827714/829566/829589/833957/834758/831158/827493/843620/10723040/834842/824900/839561/838779/820355/835203/821717/834543/844252/836158",33
"GO:0002229","BP","GO:0002229","defense response to oomycetes","32/1678","90/20875",1.6689876251248e-13,6.6287834589196e-12,5.04515481187612e-12,"823671/826642/838122/841606/831700/817828/832524/823679/836686/843716/832750/825139/836150/818348/821934/820035/825837/837210/824807/824548/822093/830154/817841/831345/829103/827085/842104/821788/823593/842281/828950/842220",32
"GO:0002238","BP","GO:0002238","response to molecule of fungal origin","15/1678","20/20875",3.75209038063737e-13,1.458525345835e-11,1.11008093904187e-11,"842988/843660/841606/817828/816283/830902/819700/837210/827493/822093/821460/823620/828840/821717/842281",15
"GO:0042537","BP","GO:0042537","benzene-containing compound metabolic process","28/1678","74/20875",9.18500290166211e-13,3.49604172944514e-11,2.6608308844508e-11,"826642/841032/832524/829869/842720/838288/827371/838289/843716/843810/830058/832750/814770/824408/829566/820141/830894/817876/818986/836377/818588/828685/816894/836475/839846/826918/839735/818701",28
"GO:0009636","BP","GO:0009636","response to toxic substance","46/1678","184/20875",2.3649429930079e-12,8.81785887392947e-11,6.71125605534574e-11,"817496/843329/823555/842203/817495/836368/843328/843799/820083/814938/835511/839295/839515/841082/827931/832290/838288/836533/838289/838907/814822/814770/843027/832537/839479/821934/842650/824120/817498/828669/818252/821935/817491/835019/837405/816248/844385/842261/844174/827912/824119/838652/843454/842281/843864/814906",46
"GO:0002682","BP","GO:0002682","regulation of immune system process","35/1678","120/20875",9.10081972021185e-12,3.26023482918177e-10,2.48135868945301e-10,"838338/815949/821832/834101/831173/817828/832474/833523/2745743/824073/836686/28720712/832618/824405/824807/829589/833957/831158/820141/827493/832170/826884/843620/838336/842432/825434/10723040/818549/834768/843068/820355/817049/818291/821717/842281",35
"GO:0050776","BP","GO:0050776","regulation of immune response","35/1678","120/20875",9.10081972021185e-12,3.26023482918177e-10,2.48135868945301e-10,"838338/815949/821832/834101/831173/817828/832474/833523/2745743/824073/836686/28720712/832618/824405/824807/829589/833957/831158/820141/827493/832170/826884/843620/838336/842432/825434/10723040/818549/834768/843068/820355/817049/818291/821717/842281",35
